Category,Condition,Alias,Relative Link
"Food, nutrition, and metabolism",aadc deficiency,aromatic l-amino acid decarboxylase deficiency,/condition/aromatic-l-amino-acid-decarboxylase-deficiency
"Food, nutrition, and metabolism",ab variant,"gm2-gangliosidosis, ab variant",/condition/gm2-gangliosidosis-ab-variant
"Food, nutrition, and metabolism",abetalipoproteinemia,,/condition/abetalipoproteinemia
"Food, nutrition, and metabolism",ac deficiency,farber lipogranulomatosis,/condition/farber-lipogranulomatosis
"Food, nutrition, and metabolism",acadm deficiency,medium-chain acyl-coa dehydrogenase deficiency,/condition/medium-chain-acyl-coa-dehydrogenase-deficiency
"Food, nutrition, and metabolism",acads deficiency,short-chain acyl-coa dehydrogenase deficiency,/condition/short-chain-acyl-coa-dehydrogenase-deficiency
"Food, nutrition, and metabolism",acadvl,very long-chain acyl-coa dehydrogenase deficiency,/condition/very-long-chain-acyl-coa-dehydrogenase-deficiency
"Food, nutrition, and metabolism",acanthocytosis,abetalipoproteinemia,/condition/abetalipoproteinemia
"Food, nutrition, and metabolism",acatalasemia,,/condition/acatalasemia
"Food, nutrition, and metabolism",acatalasia,acatalasemia,/condition/acatalasemia
"Food, nutrition, and metabolism",acid ceramidase deficiency,farber lipogranulomatosis,/condition/farber-lipogranulomatosis
"Food, nutrition, and metabolism",acid lipase deficiency,wolman disease,/condition/wolman-disease
"Food, nutrition, and metabolism",acid maltase deficiency,pompe disease,/condition/pompe-disease
"Food, nutrition, and metabolism",activator deficiency/gm2 gangliosidosis,"gm2-gangliosidosis, ab variant",/condition/gm2-gangliosidosis-ab-variant
"Food, nutrition, and metabolism",activator-deficient tay-sachs disease,"gm2-gangliosidosis, ab variant",/condition/gm2-gangliosidosis-ab-variant
"Food, nutrition, and metabolism",acy2 deficiency,canavan disease,/condition/canavan-disease
"Food, nutrition, and metabolism",acyl-coa dehydrogenase very long chain deficiency,very long-chain acyl-coa dehydrogenase deficiency,/condition/very-long-chain-acyl-coa-dehydrogenase-deficiency
"Food, nutrition, and metabolism",acylsphingosine deacylase deficiency,farber lipogranulomatosis,/condition/farber-lipogranulomatosis
"Food, nutrition, and metabolism",ada deficiency,adenosine deaminase deficiency,/condition/adenosine-deaminase-deficiency
"Food, nutrition, and metabolism",ada-scid,adenosine deaminase deficiency,/condition/adenosine-deaminase-deficiency
"Food, nutrition, and metabolism",adenosine deaminase deficiency,,/condition/adenosine-deaminase-deficiency
"Food, nutrition, and metabolism",adenylosuccinase deficiency,adenylosuccinate lyase deficiency,/condition/adenylosuccinate-lyase-deficiency
"Food, nutrition, and metabolism",adenylosuccinate lyase deficiency,,/condition/adenylosuccinate-lyase-deficiency
"Food, nutrition, and metabolism",adsl deficiency,adenylosuccinate lyase deficiency,/condition/adenylosuccinate-lyase-deficiency
"Food, nutrition, and metabolism",african iron overload,,/condition/african-iron-overload
"Food, nutrition, and metabolism",aga deficiency,aspartylglucosaminuria,/condition/aspartylglucosaminuria
"Food, nutrition, and metabolism",agl deficiency,glycogen storage disease type iii,/condition/glycogen-storage-disease-type-iii
"Food, nutrition, and metabolism",aku,alkaptonuria,/condition/alkaptonuria
"Food, nutrition, and metabolism",alactasia,lactose intolerance,/condition/lactose-intolerance
"Food, nutrition, and metabolism",alcaptonuria,alkaptonuria,/condition/alkaptonuria
"Food, nutrition, and metabolism",aldob deficiency,hereditary fructose intolerance,/condition/hereditary-fructose-intolerance
"Food, nutrition, and metabolism",aldolase b deficiency,hereditary fructose intolerance,/condition/hereditary-fructose-intolerance
"Food, nutrition, and metabolism",aldosterone deficiency,corticosterone methyloxidase deficiency,/condition/corticosterone-methyloxidase-deficiency
"Food, nutrition, and metabolism",aldosterone synthase deficiency,corticosterone methyloxidase deficiency,/condition/corticosterone-methyloxidase-deficiency
"Food, nutrition, and metabolism",alg6-cdg,alg6-congenital disorder of glycosylation,/condition/alg6-congenital-disorder-of-glycosylation
"Food, nutrition, and metabolism",alg6-congenital disorder of glycosylation,,/condition/alg6-congenital-disorder-of-glycosylation
"Food, nutrition, and metabolism",alkaptonuria,,/condition/alkaptonuria
"Food, nutrition, and metabolism",alpers diffuse degeneration of cerebral gray matter with hepatic cirrhosis,alpers-huttenlocher syndrome,/condition/alpers-huttenlocher-syndrome
"Food, nutrition, and metabolism",alpers disease,alpers-huttenlocher syndrome,/condition/alpers-huttenlocher-syndrome
"Food, nutrition, and metabolism",alpers-huttenlocher syndrome,,/condition/alpers-huttenlocher-syndrome
"Food, nutrition, and metabolism",alpers progressive infantile poliodystrophy,alpers-huttenlocher syndrome,/condition/alpers-huttenlocher-syndrome
"Food, nutrition, and metabolism",alpers syndrome,alpers-huttenlocher syndrome,/condition/alpers-huttenlocher-syndrome
"Food, nutrition, and metabolism","alpha-1,4-glucosidase deficiency",pompe disease,/condition/pompe-disease
"Food, nutrition, and metabolism",alpha-aminoadipic semialdehyde deficiency disease,hyperlysinemia,/condition/hyperlysinemia
"Food, nutrition, and metabolism",alpha-d-mannosidosis,alpha-mannosidosis,/condition/alpha-mannosidosis
"Food, nutrition, and metabolism",alpha-fucosidase deficiency,fucosidosis,/condition/fucosidosis
"Food, nutrition, and metabolism",alpha-galactosidase a deficiency,fabry disease,/condition/fabry-disease
"Food, nutrition, and metabolism",alpha-galactosidase b deficiency,schindler disease,/condition/schindler-disease
"Food, nutrition, and metabolism","alpha-galnac deficiency, schindler type",schindler disease,/condition/schindler-disease
"Food, nutrition, and metabolism",alpha-lcat deficiency,fish-eye disease,/condition/fish-eye-disease
"Food, nutrition, and metabolism",alpha-lecithin:cholesterol acyltransferase deficiency,fish-eye disease,/condition/fish-eye-disease
"Food, nutrition, and metabolism",alpha-mannosidase b deficiency,alpha-mannosidosis,/condition/alpha-mannosidosis
"Food, nutrition, and metabolism",alpha-mannosidase deficiency,alpha-mannosidosis,/condition/alpha-mannosidosis
"Food, nutrition, and metabolism",alpha-mannosidosis,,/condition/alpha-mannosidosis
"Food, nutrition, and metabolism",alpha-methylacetoacetic aciduria,beta-ketothiolase deficiency,/condition/beta-ketothiolase-deficiency
"Food, nutrition, and metabolism",alpha-methylacyl-coa racemase deficiency,,/condition/alpha-methylacyl-coa-racemase-deficiency
"Food, nutrition, and metabolism",alpha-n-acetylgalactosaminidase deficiency,schindler disease,/condition/schindler-disease
"Food, nutrition, and metabolism",alpha-naga deficiency,schindler disease,/condition/schindler-disease
"Food, nutrition, and metabolism",amacr deficiency,alpha-methylacyl-coa racemase deficiency,/condition/alpha-methylacyl-coa-racemase-deficiency
"Food, nutrition, and metabolism",amd,pompe disease,/condition/pompe-disease
"Food, nutrition, and metabolism",aminoacylase 2 deficiency,canavan disease,/condition/canavan-disease
"Food, nutrition, and metabolism",amylopectinosis,glycogen storage disease type iv,/condition/glycogen-storage-disease-type-iv
"Food, nutrition, and metabolism",andersen disease,glycogen storage disease type iv,/condition/glycogen-storage-disease-type-iv
"Food, nutrition, and metabolism",andersen glycogenosis,glycogen storage disease type iv,/condition/glycogen-storage-disease-type-iv
"Food, nutrition, and metabolism",anderson disease,chylomicron retention disease,/condition/chylomicron-retention-disease
"Food, nutrition, and metabolism",anderson-fabry disease,fabry disease,/condition/fabry-disease
"Food, nutrition, and metabolism",anderson syndrome,chylomicron retention disease,/condition/chylomicron-retention-disease
"Food, nutrition, and metabolism",angiokeratoma corporis diffusum,fabry disease,/condition/fabry-disease
"Food, nutrition, and metabolism",angiokeratoma corporis diffusum-glycopeptiduria,schindler disease,/condition/schindler-disease
"Food, nutrition, and metabolism",angiokeratoma diffuse,fabry disease,/condition/fabry-disease
"Food, nutrition, and metabolism",ans,ataxia neuropathy spectrum,/condition/ataxia-neuropathy-spectrum
"Food, nutrition, and metabolism",apolipoprotein b deficiency,abetalipoproteinemia,/condition/abetalipoproteinemia
"Food, nutrition, and metabolism",arakawa syndrome 1,glutamate formiminotransferase deficiency,/condition/glutamate-formiminotransferase-deficiency
"Food, nutrition, and metabolism",arg1 deficiency,arginase deficiency,/condition/arginase-deficiency
"Food, nutrition, and metabolism",arginase deficiency,,/condition/arginase-deficiency
"Food, nutrition, and metabolism",argininemia,arginase deficiency,/condition/arginase-deficiency
"Food, nutrition, and metabolism",argininosuccinate lyase deficiency,argininosuccinic aciduria,/condition/argininosuccinic-aciduria
"Food, nutrition, and metabolism",argininosuccinic aciduria,,/condition/argininosuccinic-aciduria
"Food, nutrition, and metabolism",argininosuccinyl-coa lyase deficiency,argininosuccinic aciduria,/condition/argininosuccinic-aciduria
"Food, nutrition, and metabolism",arginosuccinase deficiency,argininosuccinic aciduria,/condition/argininosuccinic-aciduria
"Food, nutrition, and metabolism",aromatic l-amino acid decarboxylase deficiency,,/condition/aromatic-l-amino-acid-decarboxylase-deficiency
"Food, nutrition, and metabolism",asa,argininosuccinic aciduria,/condition/argininosuccinic-aciduria
"Food, nutrition, and metabolism",asl deficiency,argininosuccinic aciduria,/condition/argininosuccinic-aciduria
"Food, nutrition, and metabolism",aspa deficiency,canavan disease,/condition/canavan-disease
"Food, nutrition, and metabolism",aspartoacylase deficiency,canavan disease,/condition/canavan-disease
"Food, nutrition, and metabolism",aspartylglucosamidase deficiency,aspartylglucosaminuria,/condition/aspartylglucosaminuria
"Food, nutrition, and metabolism",aspartylglucosaminidase deficiency,aspartylglucosaminuria,/condition/aspartylglucosaminuria
"Food, nutrition, and metabolism",aspartylglucosaminuria,,/condition/aspartylglucosaminuria
"Food, nutrition, and metabolism",aspartylglycosaminuria,aspartylglucosaminuria,/condition/aspartylglucosaminuria
"Food, nutrition, and metabolism",ataxia neuropathy spectrum,,/condition/ataxia-neuropathy-spectrum
"Food, nutrition, and metabolism",ataxia with lactic acidosis,pyruvate dehydrogenase deficiency,/condition/pyruvate-dehydrogenase-deficiency
"Food, nutrition, and metabolism",ataxia with vitamin e deficiency,,/condition/ataxia-with-vitamin-e-deficiency
"Food, nutrition, and metabolism",auh defect,3-methylglutaconyl-coa hydratase deficiency,/condition/3-methylglutaconyl-coa-hydratase-deficiency
"Food, nutrition, and metabolism",autoimmune diabetes,type 1 diabetes,/condition/type-1-diabetes
"Food, nutrition, and metabolism",aved,ataxia with vitamin e deficiency,/condition/ataxia-with-vitamin-e-deficiency
"Food, nutrition, and metabolism",b variant gm2 gangliosidosis,tay-sachs disease,/condition/tay-sachs-disease
"Food, nutrition, and metabolism",barth syndrome,,/condition/barth-syndrome
"Food, nutrition, and metabolism",bassen-kornzweig syndrome,abetalipoproteinemia,/condition/abetalipoproteinemia
"Food, nutrition, and metabolism",bbgd,biotin-thiamine-responsive basal ganglia disease,/condition/biotin-thiamine-responsive-basal-ganglia-disease
"Food, nutrition, and metabolism",bckd deficiency,maple syrup urine disease,/condition/maple-syrup-urine-disease
"Food, nutrition, and metabolism",berardinelli-seip congenital lipodystrophy,,/condition/berardinelli-seip-congenital-lipodystrophy
"Food, nutrition, and metabolism",beta-alanine synthase deficiency,beta-ureidopropionase deficiency,/condition/beta-ureidopropionase-deficiency
"Food, nutrition, and metabolism",beta-d-mannosidosis,beta-mannosidosis,/condition/beta-mannosidosis
"Food, nutrition, and metabolism",beta-hexosaminidase-beta-subunit deficiency,sandhoff disease,/condition/sandhoff-disease
"Food, nutrition, and metabolism",beta-ketothiolase deficiency,,/condition/beta-ketothiolase-deficiency
"Food, nutrition, and metabolism",beta-mannosidase deficiency,beta-mannosidosis,/condition/beta-mannosidosis
"Food, nutrition, and metabolism",beta-mannosidosis,,/condition/beta-mannosidosis
"Food, nutrition, and metabolism",beta-sitosterolemia,sitosterolemia,/condition/sitosterolemia
"Food, nutrition, and metabolism",beta-ureidopropionase deficiency,,/condition/beta-ureidopropionase-deficiency
"Food, nutrition, and metabolism",betalipoprotein deficiency disease,abetalipoproteinemia,/condition/abetalipoproteinemia
"Food, nutrition, and metabolism",bh4 deficiency,tetrahydrobiopterin deficiency,/condition/tetrahydrobiopterin-deficiency
"Food, nutrition, and metabolism",bifunctional peroxisomal enzyme deficiency,d-bifunctional protein deficiency,/condition/d-bifunctional-protein-deficiency
"Food, nutrition, and metabolism",biot,biotinidase deficiency,/condition/biotinidase-deficiency
"Food, nutrition, and metabolism",biotin-responsive basal ganglia disease,biotin-thiamine-responsive basal ganglia disease,/condition/biotin-thiamine-responsive-basal-ganglia-disease
"Food, nutrition, and metabolism",biotin-thiamine-responsive basal ganglia disease,,/condition/biotin-thiamine-responsive-basal-ganglia-disease
"Food, nutrition, and metabolism",biotinidase deficiency,,/condition/biotinidase-deficiency
"Food, nutrition, and metabolism",bkt,beta-ketothiolase deficiency,/condition/beta-ketothiolase-deficiency
"Food, nutrition, and metabolism",bmcc deficiency,3-methylcrotonyl-coa carboxylase deficiency,/condition/3-methylcrotonyl-coa-carboxylase-deficiency
"Food, nutrition, and metabolism",bonneau-beaumont syndrome,hyperferritinemia-cataract syndrome,/condition/hyperferritinemia-cataract-syndrome
"Food, nutrition, and metabolism",branched-chain alpha-keto acid dehydrogenase deficiency,maple syrup urine disease,/condition/maple-syrup-urine-disease
"Food, nutrition, and metabolism",branched-chain ketoaciduria,maple syrup urine disease,/condition/maple-syrup-urine-disease
"Food, nutrition, and metabolism",brancher deficiency,glycogen storage disease type iv,/condition/glycogen-storage-disease-type-iv
"Food, nutrition, and metabolism",branching enzyme deficiency,glycogen storage disease type iv,/condition/glycogen-storage-disease-type-iv
"Food, nutrition, and metabolism",bronze diabetes,hereditary hemochromatosis,/condition/hereditary-hemochromatosis
"Food, nutrition, and metabolism",bronzed cirrhosis,hereditary hemochromatosis,/condition/hereditary-hemochromatosis
"Food, nutrition, and metabolism",brunzell syndrome (with bone cysts),berardinelli-seip congenital lipodystrophy,/condition/berardinelli-seip-congenital-lipodystrophy
"Food, nutrition, and metabolism",bscl,berardinelli-seip congenital lipodystrophy,/condition/berardinelli-seip-congenital-lipodystrophy
"Food, nutrition, and metabolism",btbgd,biotin-thiamine-responsive basal ganglia disease,/condition/biotin-thiamine-responsive-basal-ganglia-disease
"Food, nutrition, and metabolism",btd deficiency,biotinidase deficiency,/condition/biotinidase-deficiency
"Food, nutrition, and metabolism",bths,barth syndrome,/condition/barth-syndrome
"Food, nutrition, and metabolism",burger-grutz syndrome,familial lipoprotein lipase deficiency,/condition/familial-lipoprotein-lipase-deficiency
"Food, nutrition, and metabolism",butyrylcholinesterase deficiency,pseudocholinesterase deficiency,/condition/pseudocholinesterase-deficiency
"Food, nutrition, and metabolism",cact deficiency,carnitine-acylcarnitine translocase deficiency,/condition/carnitine-acylcarnitine-translocase-deficiency
"Food, nutrition, and metabolism",canavan disease,,/condition/canavan-disease
"Food, nutrition, and metabolism",carbamoyl phosphate synthetase i deficiency,,/condition/carbamoyl-phosphate-synthetase-i-deficiency
"Food, nutrition, and metabolism",carbamyl-phosphate synthetase i deficiency disease,carbamoyl phosphate synthetase i deficiency,/condition/carbamoyl-phosphate-synthetase-i-deficiency
"Food, nutrition, and metabolism",carbohydrate-deficient glycoprotein syndrome type ia,pmm2-congenital disorder of glycosylation,/condition/pmm2-congenital-disorder-of-glycosylation
"Food, nutrition, and metabolism",carbohydrate-deficient glycoprotein syndrome type ic,alg6-congenital disorder of glycosylation,/condition/alg6-congenital-disorder-of-glycosylation
"Food, nutrition, and metabolism",carbohydrate-deficient glycoprotein syndrome type v,alg6-congenital disorder of glycosylation,/condition/alg6-congenital-disorder-of-glycosylation
"Food, nutrition, and metabolism",carbohydrate intolerance,glucose-galactose malabsorption,/condition/glucose-galactose-malabsorption
"Food, nutrition, and metabolism",carbonic anhydrase xii deficiency,isolated hyperchlorhidrosis,/condition/isolated-hyperchlorhidrosis
"Food, nutrition, and metabolism","carboxylase deficiency, multiple, late-onset",biotinidase deficiency,/condition/biotinidase-deficiency
"Food, nutrition, and metabolism",cardioskeletal myopathy with neutropenia and abnormal mitochondria,barth syndrome,/condition/barth-syndrome
"Food, nutrition, and metabolism",carnitine-acylcarnitine translocase deficiency,,/condition/carnitine-acylcarnitine-translocase-deficiency
"Food, nutrition, and metabolism",carnitine palmitoyltransferase i deficiency,,/condition/carnitine-palmitoyltransferase-i-deficiency
"Food, nutrition, and metabolism",carnitine palmitoyltransferase ii deficiency,,/condition/carnitine-palmitoyltransferase-ii-deficiency
"Food, nutrition, and metabolism",carnitine transporter deficiency,primary carnitine deficiency,/condition/primary-carnitine-deficiency
"Food, nutrition, and metabolism",carnitine uptake defect,primary carnitine deficiency,/condition/primary-carnitine-deficiency
"Food, nutrition, and metabolism",carnitine uptake deficiency,primary carnitine deficiency,/condition/primary-carnitine-deficiency
"Food, nutrition, and metabolism",catalase deficiency,acatalasemia,/condition/acatalasemia
"Food, nutrition, and metabolism",cbg deficiency,corticosteroid-binding globulin deficiency,/condition/corticosteroid-binding-globulin-deficiency
"Food, nutrition, and metabolism",cdg ia,pmm2-congenital disorder of glycosylation,/condition/pmm2-congenital-disorder-of-glycosylation
"Food, nutrition, and metabolism",cdg syndrome type ic,alg6-congenital disorder of glycosylation,/condition/alg6-congenital-disorder-of-glycosylation
"Food, nutrition, and metabolism",cdg1a,pmm2-congenital disorder of glycosylation,/condition/pmm2-congenital-disorder-of-glycosylation
"Food, nutrition, and metabolism",cdg1c,alg6-congenital disorder of glycosylation,/condition/alg6-congenital-disorder-of-glycosylation
"Food, nutrition, and metabolism",cdgic,alg6-congenital disorder of glycosylation,/condition/alg6-congenital-disorder-of-glycosylation
"Food, nutrition, and metabolism",cdgs1a,pmm2-congenital disorder of glycosylation,/condition/pmm2-congenital-disorder-of-glycosylation
"Food, nutrition, and metabolism",cds,chanarin-dorfman syndrome,/condition/chanarin-dorfman-syndrome
"Food, nutrition, and metabolism",celiac disease,,/condition/celiac-disease
"Food, nutrition, and metabolism",ceramidase deficiency,farber lipogranulomatosis,/condition/farber-lipogranulomatosis
"Food, nutrition, and metabolism",ceramide trihexosidase deficiency,fabry disease,/condition/fabry-disease
"Food, nutrition, and metabolism",cerebral cholesterinosis,cerebrotendinous xanthomatosis,/condition/cerebrotendinous-xanthomatosis
"Food, nutrition, and metabolism",cerebroside lipidosis syndrome,gaucher disease,/condition/gaucher-disease
"Food, nutrition, and metabolism",cerebrotendinous xanthomatosis,,/condition/cerebrotendinous-xanthomatosis
"Food, nutrition, and metabolism",cesd,cholesteryl ester storage disease,/condition/cholesteryl-ester-storage-disease
"Food, nutrition, and metabolism",chanarin-dorfman syndrome,,/condition/chanarin-dorfman-syndrome
"Food, nutrition, and metabolism",childhood myocerebrohepatopathy spectrum,,/condition/childhood-myocerebrohepatopathy-spectrum
"Food, nutrition, and metabolism",cholestanol storage disease,cerebrotendinous xanthomatosis,/condition/cerebrotendinous-xanthomatosis
"Food, nutrition, and metabolism",cholesterol ester hydrolase deficiency,cholesteryl ester storage disease,/condition/cholesteryl-ester-storage-disease
"Food, nutrition, and metabolism",cholesterol ester storage disease,cholesteryl ester storage disease,/condition/cholesteryl-ester-storage-disease
"Food, nutrition, and metabolism",cholesteryl ester storage disease,,/condition/cholesteryl-ester-storage-disease
"Food, nutrition, and metabolism",cholinesterase ii deficiency,pseudocholinesterase deficiency,/condition/pseudocholinesterase-deficiency
"Food, nutrition, and metabolism",chronic progressive external ophthalmoplegia,progressive external ophthalmoplegia,/condition/progressive-external-ophthalmoplegia
"Food, nutrition, and metabolism",chylomicron retention disease,,/condition/chylomicron-retention-disease
"Food, nutrition, and metabolism",cit,citrullinemia,/condition/citrullinemia
"Food, nutrition, and metabolism",citrullinemia,,/condition/citrullinemia
"Food, nutrition, and metabolism",classic galactosemia,galactosemia,/condition/galactosemia
"Food, nutrition, and metabolism",cmo deficiency,corticosterone methyloxidase deficiency,/condition/corticosterone-methyloxidase-deficiency
"Food, nutrition, and metabolism",cmrd,chylomicron retention disease,/condition/chylomicron-retention-disease
"Food, nutrition, and metabolism",cohen syndrome,,/condition/cohen-syndrome
"Food, nutrition, and metabolism",complete lcat deficiency,,/condition/complete-lcat-deficiency
"Food, nutrition, and metabolism",complex carbohydrate intolerance,glucose-galactose malabsorption,/condition/glucose-galactose-malabsorption
"Food, nutrition, and metabolism",complex iv deficiency,cytochrome c oxidase deficiency,/condition/cytochrome-c-oxidase-deficiency
"Food, nutrition, and metabolism",congenital betalipoprotein deficiency syndrome,abetalipoproteinemia,/condition/abetalipoproteinemia
"Food, nutrition, and metabolism",congenital deficiency of the leptin receptor,leptin receptor deficiency,/condition/leptin-receptor-deficiency
"Food, nutrition, and metabolism",congenital disorder of glycosylation type ia,pmm2-congenital disorder of glycosylation,/condition/pmm2-congenital-disorder-of-glycosylation
"Food, nutrition, and metabolism",congenital disorder of glycosylation type ic,alg6-congenital disorder of glycosylation,/condition/alg6-congenital-disorder-of-glycosylation
"Food, nutrition, and metabolism",congenital enteropathy,microvillus inclusion disease,/condition/microvillus-inclusion-disease
"Food, nutrition, and metabolism",congenital familial protracted diarrhea with enterocyte brush-border abnormalities,microvillus inclusion disease,/condition/microvillus-inclusion-disease
"Food, nutrition, and metabolism",congenital generalized lipodystrophy,berardinelli-seip congenital lipodystrophy,/condition/berardinelli-seip-congenital-lipodystrophy
"Food, nutrition, and metabolism","congenital hyperammonemia, type i",carbamoyl phosphate synthetase i deficiency,/condition/carbamoyl-phosphate-synthetase-i-deficiency
"Food, nutrition, and metabolism",congenital hypoaldosteronism,corticosterone methyloxidase deficiency,/condition/corticosterone-methyloxidase-deficiency
"Food, nutrition, and metabolism",congenital icthyosis mental retardation spasticity syndrome,sjögren-larsson syndrome,/condition/sjogren-larsson-syndrome
"Food, nutrition, and metabolism",congenital leptin deficiency,,/condition/congenital-leptin-deficiency
"Food, nutrition, and metabolism",congenital lipomatosis of pancreas,shwachman-diamond syndrome,/condition/shwachman-diamond-syndrome
"Food, nutrition, and metabolism",congenital lysinuria,lysinuric protein intolerance,/condition/lysinuric-protein-intolerance
"Food, nutrition, and metabolism",congenital microvillous atrophy,microvillus inclusion disease,/condition/microvillus-inclusion-disease
"Food, nutrition, and metabolism",congenital oxaluria,primary hyperoxaluria,/condition/primary-hyperoxaluria
"Food, nutrition, and metabolism",congenital sucrase-isomaltase deficiency,,/condition/congenital-sucrase-isomaltase-deficiency
"Food, nutrition, and metabolism",copper storage disease,wilson disease,/condition/wilson-disease
"Food, nutrition, and metabolism",copper transport disease,menkes syndrome,/condition/menkes-syndrome
"Food, nutrition, and metabolism",cori disease,glycogen storage disease type iii,/condition/glycogen-storage-disease-type-iii
"Food, nutrition, and metabolism",corticosteroid-binding globulin deficiency,,/condition/corticosteroid-binding-globulin-deficiency
"Food, nutrition, and metabolism",corticosterone methyloxidase deficiency,,/condition/corticosterone-methyloxidase-deficiency
"Food, nutrition, and metabolism",cox deficiency,cytochrome c oxidase deficiency,/condition/cytochrome-c-oxidase-deficiency
"Food, nutrition, and metabolism",cpeo,progressive external ophthalmoplegia,/condition/progressive-external-ophthalmoplegia
"Food, nutrition, and metabolism",cpt 1a deficiency,carnitine palmitoyltransferase i deficiency,/condition/carnitine-palmitoyltransferase-i-deficiency
"Food, nutrition, and metabolism","cpt deficiency, hepatic, type i",carnitine palmitoyltransferase i deficiency,/condition/carnitine-palmitoyltransferase-i-deficiency
"Food, nutrition, and metabolism",cpt i deficiency,carnitine palmitoyltransferase i deficiency,/condition/carnitine-palmitoyltransferase-i-deficiency
"Food, nutrition, and metabolism",cpt ii deficiency,carnitine palmitoyltransferase ii deficiency,/condition/carnitine-palmitoyltransferase-ii-deficiency
"Food, nutrition, and metabolism",cpt2 deficiency,carnitine palmitoyltransferase ii deficiency,/condition/carnitine-palmitoyltransferase-ii-deficiency
"Food, nutrition, and metabolism",csid,congenital sucrase-isomaltase deficiency,/condition/congenital-sucrase-isomaltase-deficiency
"Food, nutrition, and metabolism",ctx,cerebrotendinous xanthomatosis,/condition/cerebrotendinous-xanthomatosis
"Food, nutrition, and metabolism",cud,primary carnitine deficiency,/condition/primary-carnitine-deficiency
"Food, nutrition, and metabolism",cystathionine beta synthase deficiency,homocystinuria,/condition/homocystinuria
"Food, nutrition, and metabolism",cystine storage disease,cystinosis,/condition/cystinosis
"Food, nutrition, and metabolism",cystinosis,,/condition/cystinosis
"Food, nutrition, and metabolism",cytochrome c oxidase deficiency,,/condition/cytochrome-c-oxidase-deficiency
"Food, nutrition, and metabolism",d-bifunctional protein deficiency,,/condition/d-bifunctional-protein-deficiency
"Food, nutrition, and metabolism",d-glycerate dehydrogenase deficiency,primary hyperoxaluria,/condition/primary-hyperoxaluria
"Food, nutrition, and metabolism",dairy product intolerance,lactose intolerance,/condition/lactose-intolerance
"Food, nutrition, and metabolism",davidson disease,microvillus inclusion disease,/condition/microvillus-inclusion-disease
"Food, nutrition, and metabolism",dbp deficiency,d-bifunctional protein deficiency,/condition/d-bifunctional-protein-deficiency
"Food, nutrition, and metabolism",ddc deficiency,aromatic l-amino acid decarboxylase deficiency,/condition/aromatic-l-amino-acid-decarboxylase-deficiency
"Food, nutrition, and metabolism",de vivo disease,glut1 deficiency syndrome,/condition/glut1-deficiency-syndrome
"Food, nutrition, and metabolism",debrancher deficiency,glycogen storage disease type iii,/condition/glycogen-storage-disease-type-iii
"Food, nutrition, and metabolism","deficiency disease, phenylalanine hydroxylase",phenylketonuria,/condition/phenylketonuria
"Food, nutrition, and metabolism",deficiency of 3-hydroxyacyl-coa dehydrogenase,3-hydroxyacyl-coa dehydrogenase deficiency,/condition/3-hydroxyacyl-coa-dehydrogenase-deficiency
"Food, nutrition, and metabolism",deficiency of 3beta-hydroxysterol delta24-reductase,desmosterolosis,/condition/desmosterolosis
"Food, nutrition, and metabolism",deficiency of alkaline phosphatase,hypophosphatasia,/condition/hypophosphatasia
"Food, nutrition, and metabolism",deficiency of alpha-glucosidase,pompe disease,/condition/pompe-disease
"Food, nutrition, and metabolism",deficiency of alpha-mannosidase,alpha-mannosidosis,/condition/alpha-mannosidosis
"Food, nutrition, and metabolism",deficiency of aromatic-l-amino-acid decarboxylase,aromatic l-amino acid decarboxylase deficiency,/condition/aromatic-l-amino-acid-decarboxylase-deficiency
"Food, nutrition, and metabolism",deficiency of beta-ureidopropionase,beta-ureidopropionase deficiency,/condition/beta-ureidopropionase-deficiency
"Food, nutrition, and metabolism",deficiency of butyryl-coa dehydrogenase,short-chain acyl-coa dehydrogenase deficiency,/condition/short-chain-acyl-coa-dehydrogenase-deficiency
"Food, nutrition, and metabolism",deficiency of butyrylcholine esterase,pseudocholinesterase deficiency,/condition/pseudocholinesterase-deficiency
"Food, nutrition, and metabolism",deficiency of cathepsin a,galactosialidosis,/condition/galactosialidosis
"Food, nutrition, and metabolism",deficiency of glucose-6-phosphate dehydrogenase,glucose-6-phosphate dehydrogenase deficiency,/condition/glucose-6-phosphate-dehydrogenase-deficiency
"Food, nutrition, and metabolism",deficiency of glutathione synthase,glutathione synthetase deficiency,/condition/glutathione-synthetase-deficiency
"Food, nutrition, and metabolism",deficiency of glutathione synthetase,glutathione synthetase deficiency,/condition/glutathione-synthetase-deficiency
"Food, nutrition, and metabolism",deficiency of hydroxymethylglutaryl-coa lyase,3-hydroxy-3-methylglutaryl-coa lyase deficiency,/condition/3-hydroxy-3-methylglutaryl-coa-lyase-deficiency
"Food, nutrition, and metabolism",deficiency of isobutyryl-coa dehydrogenase,isobutyryl-coa dehydrogenase deficiency,/condition/isobutyryl-coa-dehydrogenase-deficiency
"Food, nutrition, and metabolism",deficiency of lactate dehydrogenase,lactate dehydrogenase deficiency,/condition/lactate-dehydrogenase-deficiency
"Food, nutrition, and metabolism",deficiency of malonyl-coa decarboxylase,malonyl-coa decarboxylase deficiency,/condition/malonyl-coa-decarboxylase-deficiency
"Food, nutrition, and metabolism",deficiency of methionine adenosyltransferase,hypermethioninemia,/condition/hypermethioninemia
