Category,Condition,Alias,Relative Link,OtherAliases
"Food, nutrition, and metabolism",dubin-johnson syndrome,,/condition/dubin-johnson-syndrome,"['DJS', 'hyperbilirubinemia II', 'Jaundice, Chronic Idiopathic']"
"Food, nutrition, and metabolism",dyslipoproteinemic corneal dystrophy,fish-eye disease,/condition/fish-eye-disease,"['alpha-LCAT deficiency', 'alpha-lecithin:cholesterol acyltransferase deficiency', 'dyslipoproteinemic corneal dystrophy', 'FED', 'LCATA deficiency', 'partial LCAT deficiency']"
"Food, nutrition, and metabolism",e3 deficiency,dihydrolipoamide dehydrogenase deficiency,/condition/dihydrolipoamide-dehydrogenase-deficiency,"['dihydrolipoyl dehydrogenase deficiency', 'DLD deficiency', 'E3 deficiency', 'lactic acidosis due to LAD deficiency', 'lactic acidosis due to lipoamide dehydrogenase deficiency', 'lipoamide dehydrogenase deficiency', 'maple syrup urine disease, type III']"
"Food, nutrition, and metabolism",early-onset biotin-responsive multiple carboxylase deficiency,holocarboxylase synthetase deficiency,/condition/holocarboxylase-synthetase-deficiency,"['Early-Onset Biotin-Responsive Multiple Carboxylase Deficiency', 'Early-Onset Combined Carboxylase Deficiency', 'HLCS deficiency', 'Infantile Multiple Carboxylase Deficiency', 'Multiple Carboxylase Deficiency, Neonatal Form']"
"Food, nutrition, and metabolism",early-onset combined carboxylase deficiency,holocarboxylase synthetase deficiency,/condition/holocarboxylase-synthetase-deficiency,"['Early-Onset Biotin-Responsive Multiple Carboxylase Deficiency', 'Early-Onset Combined Carboxylase Deficiency', 'HLCS deficiency', 'Infantile Multiple Carboxylase Deficiency', 'Multiple Carboxylase Deficiency, Neonatal Form']"
"Food, nutrition, and metabolism",electron transfer flavoprotein deficiency,glutaric acidemia type ii,/condition/glutaric-acidemia-type-ii,"['electron transfer flavoprotein deficiency', 'EMA', 'ETFA deficiency', 'ETFB deficiency', 'ETFDH deficiency', 'ethylmalonic-adipicaciduria', 'GA II', 'glutaric acidemia, type 2', 'glutaric aciduria, type 2', 'MAD', 'MADD', 'multiple acyl-CoA dehydrogenase deficiency', 'multiple FAD dehydrogenase deficiency']"
"Food, nutrition, and metabolism",elevated cholesterol,hypercholesterolemia,/condition/hypercholesterolemia,['Elevated cholesterol']
"Food, nutrition, and metabolism",ema,glutaric acidemia type ii,/condition/glutaric-acidemia-type-ii,"['electron transfer flavoprotein deficiency', 'EMA', 'ETFA deficiency', 'ETFB deficiency', 'ETFDH deficiency', 'ethylmalonic-adipicaciduria', 'GA II', 'glutaric acidemia, type 2', 'glutaric aciduria, type 2', 'MAD', 'MADD', 'multiple acyl-CoA dehydrogenase deficiency', 'multiple FAD dehydrogenase deficiency']"
"Food, nutrition, and metabolism",encephalopathy due to glut1 deficiency,glut1 deficiency syndrome,/condition/glut1-deficiency-syndrome,"['De Vivo disease', 'encephalopathy due to GLUT1 deficiency', 'G1D', 'glucose transport defect, blood-brain barrier', 'glucose transporter protein syndrome', 'glucose transporter type 1 deficiency syndrome', 'Glut1 deficiency', 'GLUT1 DS', 'GTPS']"
"Food, nutrition, and metabolism",endogenous hypertriglyceridaemia,familial lipoprotein lipase deficiency,/condition/familial-lipoprotein-lipase-deficiency,"['Burger-Grutz syndrome', 'endogenous hypertriglyceridaemia', 'familial fat-induced hypertriglyceridemia', 'familial hyperchylomicronemia', 'familial LPL deficiency', 'hyperlipoproteinemia type I', 'hyperlipoproteinemia type Ia', 'lipase D deficiency', 'LIPD deficiency', 'lipoprotein lipase deficiency, familial']"
"Food, nutrition, and metabolism",epimerase deficiency galactosemia,galactosemia,/condition/galactosemia,"['classic galactosemia', 'epimerase deficiency galactosemia', 'galactokinase deficiency disease', 'galactose-1-phosphate uridyl-transferase deficiency disease', 'galactose epimerase deficiency', 'GALE deficiency', 'GALK deficiency', 'GALT deficiency', 'UDP-galactose-4-epimerase deficiency disease', 'UTP hexose-1-phosphate uridylyltransferase deficiency']"
"Food, nutrition, and metabolism",etfa deficiency,glutaric acidemia type ii,/condition/glutaric-acidemia-type-ii,"['electron transfer flavoprotein deficiency', 'EMA', 'ETFA deficiency', 'ETFB deficiency', 'ETFDH deficiency', 'ethylmalonic-adipicaciduria', 'GA II', 'glutaric acidemia, type 2', 'glutaric aciduria, type 2', 'MAD', 'MADD', 'multiple acyl-CoA dehydrogenase deficiency', 'multiple FAD dehydrogenase deficiency']"
"Food, nutrition, and metabolism",etfb deficiency,glutaric acidemia type ii,/condition/glutaric-acidemia-type-ii,"['electron transfer flavoprotein deficiency', 'EMA', 'ETFA deficiency', 'ETFB deficiency', 'ETFDH deficiency', 'ethylmalonic-adipicaciduria', 'GA II', 'glutaric acidemia, type 2', 'glutaric aciduria, type 2', 'MAD', 'MADD', 'multiple acyl-CoA dehydrogenase deficiency', 'multiple FAD dehydrogenase deficiency']"
"Food, nutrition, and metabolism",etfdh deficiency,glutaric acidemia type ii,/condition/glutaric-acidemia-type-ii,"['electron transfer flavoprotein deficiency', 'EMA', 'ETFA deficiency', 'ETFB deficiency', 'ETFDH deficiency', 'ethylmalonic-adipicaciduria', 'GA II', 'glutaric acidemia, type 2', 'glutaric aciduria, type 2', 'MAD', 'MADD', 'multiple acyl-CoA dehydrogenase deficiency', 'multiple FAD dehydrogenase deficiency']"
"Food, nutrition, and metabolism",ethylmalonic-adipicaciduria,glutaric acidemia type ii,/condition/glutaric-acidemia-type-ii,"['electron transfer flavoprotein deficiency', 'EMA', 'ETFA deficiency', 'ETFB deficiency', 'ETFDH deficiency', 'ethylmalonic-adipicaciduria', 'GA II', 'glutaric acidemia, type 2', 'glutaric aciduria, type 2', 'MAD', 'MADD', 'multiple acyl-CoA dehydrogenase deficiency', 'multiple FAD dehydrogenase deficiency']"
"Food, nutrition, and metabolism",fabry disease,,/condition/fabry-disease,"['alpha-galactosidase A deficiency', 'Anderson-Fabry disease', 'angiokeratoma corporis diffusum', 'angiokeratoma diffuse', 'ceramide trihexosidase deficiency', ""Fabry's disease"", 'GLA deficiency', 'hereditary dystopic lipidosis']"
"Food, nutrition, and metabolism",faldh deficiency,sjögren-larsson syndrome,/condition/sjogren-larsson-syndrome,"['congenital icthyosis mental retardation spasticity syndrome', 'FALDH deficiency', 'fatty aldehyde dehydrogenase deficiency', 'ichthyosis oligophrenia syndrome', 'Sjogren-Larsson syndrome', 'SLS']"
"Food, nutrition, and metabolism",familial hemochromatosis,hereditary hemochromatosis,/condition/hereditary-hemochromatosis,"['bronzed cirrhosis', 'bronze diabetes', 'familial hemochromatosis', 'genetic hemochromatosis', 'haemochromatosis', 'HC', 'hemochromatosis', 'hereditary haemochromatosis', 'HH', 'HLAH', 'iron storage disorder', 'pigmentary cirrhosis', 'primary hemochromatosis', 'Troisier-Hanot-Chauffard syndrome', 'Von Recklenhausen-Applebaum disease']"
"Food, nutrition, and metabolism",familial hyperlysinemia,hyperlysinemia,/condition/hyperlysinemia,"['alpha-aminoadipic semialdehyde deficiency disease', 'familial hyperlysinemia', 'lysine alpha-ketoglutarate reductase deficiency disease', 'saccharopine dehydrogenase deficiency disease', 'saccharopinuria']"
"Food, nutrition, and metabolism",familial hyperreninemic hypoaldosteronism,corticosterone methyloxidase deficiency,/condition/corticosterone-methyloxidase-deficiency,"['18-hydroxylase deficiency', '18-oxidase deficiency', 'aldosterone deficiency', 'aldosterone deficiency due to deficiency of steroid 18-hydroxylase', 'aldosterone deficiency due to deficiency of steroid 18-oxidase', 'aldosterone synthase deficiency', 'CMO deficiency', 'congenital hypoaldosteronism', 'corticosterone 18-monooxygenase deficiency', 'corticosterone methyl oxidase deficiency', 'familial hyperreninemic hypoaldosteronism', 'steroid 18-hydroxylase deficiency', 'steroid 18-oxidase deficiency', 'Visser-Cost syndrome']"
"Food, nutrition, and metabolism",familial hypobetalipoproteinemia,,/condition/familial-hypobetalipoproteinemia,"['FHBL', 'hypobetalipoproteinemia']"
"Food, nutrition, and metabolism",familial isolated vitamin e deficiency,ataxia with vitamin e deficiency,/condition/ataxia-with-vitamin-e-deficiency,"['ataxia with isolated vitamin E deficiency', 'AVED', 'familial isolated vitamin E deficiency', 'FIVE', 'Friedreich ataxia phenotype with selective vitamin E deficiency', 'Friedreich-like ataxia']"
"Food, nutrition, and metabolism",familial lcat deficiency,complete lcat deficiency,/condition/complete-lcat-deficiency,"['familial LCAT deficiency', 'familial lecithin-cholesterol acyltransferase deficiency', 'FLD', 'LCAT deficiency', 'lecithin acyltransferase deficiency', 'lecithin:cholesterol acyltransferase deficiency', 'Norum disease', ""Norum's disease""]"
"Food, nutrition, and metabolism",familial lecithin-cholesterol acyltransferase deficiency,complete lcat deficiency,/condition/complete-lcat-deficiency,"['familial LCAT deficiency', 'familial lecithin-cholesterol acyltransferase deficiency', 'FLD', 'LCAT deficiency', 'lecithin acyltransferase deficiency', 'lecithin:cholesterol acyltransferase deficiency', 'Norum disease', ""Norum's disease""]"
"Food, nutrition, and metabolism",familial lipoprotein lipase deficiency,,/condition/familial-lipoprotein-lipase-deficiency,"['Burger-Grutz syndrome', 'endogenous hypertriglyceridaemia', 'familial fat-induced hypertriglyceridemia', 'familial hyperchylomicronemia', 'familial LPL deficiency', 'hyperlipoproteinemia type I', 'hyperlipoproteinemia type Ia', 'lipase D deficiency', 'LIPD deficiency', 'lipoprotein lipase deficiency, familial']"
"Food, nutrition, and metabolism",familial primary hypomagnesemia with hypocalcuria,hypomagnesemia with secondary hypocalcemia,/condition/hypomagnesemia-with-secondary-hypocalcemia,"['familial primary hypomagnesemia with hypocalcuria', 'HOMG', 'HSH', 'hypomagnesemic tetany', 'intestinal hypomagnesemia 1', 'intestinal hypomagnesemia with secondary hypocalcemia']"
"Food, nutrition, and metabolism",familial protracted enteropathy,microvillus inclusion disease,/condition/microvillus-inclusion-disease,"['congenital enteropathy', 'congenital familial protracted diarrhea with enterocyte brush-border abnormalities', 'congenital microvillous atrophy', 'Davidson disease', 'familial protracted enteropathy', 'intractable diarrhea of infancy', 'microvillous atrophy', 'microvillous inclusion disease', 'microvillus atrophy with diarrhea 2', 'MVID']"
"Food, nutrition, and metabolism",familial pyrimidemia,dihydropyrimidine dehydrogenase deficiency,/condition/dihydropyrimidine-dehydrogenase-deficiency,"['dihydropyrimidinuria', 'DPD deficiency', 'familial pyrimidemia', 'hereditary thymine-uraciluria']"
"Food, nutrition, and metabolism",familial xanthomatosis,wolman disease,/condition/wolman-disease,"['Acid lipase deficiency', 'Familial Xanthomatosis', 'LAL deficiency', 'LIPA deficiency', 'Liposomal Acid Lipase Deficiency, Wolman Type', 'Lysosomal acid lipase deficiency']"
"Food, nutrition, and metabolism",farber lipogranulomatosis,,/condition/farber-lipogranulomatosis,"['AC deficiency', 'acid ceramidase deficiency', 'acylsphingosine deacylase deficiency', 'ceramidase deficiency', 'Farber disease', ""Farber's disease"", ""Farber's lipogranulomatosis"", 'Farber-Uzman syndrome']"
"Food, nutrition, and metabolism",fatty aldehyde dehydrogenase deficiency,sjögren-larsson syndrome,/condition/sjogren-larsson-syndrome,"['congenital icthyosis mental retardation spasticity syndrome', 'FALDH deficiency', 'fatty aldehyde dehydrogenase deficiency', 'ichthyosis oligophrenia syndrome', 'Sjogren-Larsson syndrome', 'SLS']"
"Food, nutrition, and metabolism",fed,fish-eye disease,/condition/fish-eye-disease,"['alpha-LCAT deficiency', 'alpha-lecithin:cholesterol acyltransferase deficiency', 'dyslipoproteinemic corneal dystrophy', 'FED', 'LCATA deficiency', 'partial LCAT deficiency']"
"Food, nutrition, and metabolism",fellman syndrome,gracile syndrome,/condition/gracile-syndrome,"['Fellman syndrome', 'Finnish lactic acidosis with hepatic hemosiderosis', 'Finnish lethal neonatal metabolic syndrome', 'growth retardation, amino aciduria, cholestasis, iron overload, lactic acidosis, and early death']"
"Food, nutrition, and metabolism",fhbl,familial hypobetalipoproteinemia,/condition/familial-hypobetalipoproteinemia,"['FHBL', 'hypobetalipoproteinemia']"
"Food, nutrition, and metabolism",figlu-uria,glutamate formiminotransferase deficiency,/condition/glutamate-formiminotransferase-deficiency,"['Arakawa syndrome 1', 'FIGLU-uria', 'formiminoglutamic aciduria', 'formiminotransferase deficiency']"
"Food, nutrition, and metabolism",finnish lactic acidosis with hepatic hemosiderosis,gracile syndrome,/condition/gracile-syndrome,"['Fellman syndrome', 'Finnish lactic acidosis with hepatic hemosiderosis', 'Finnish lethal neonatal metabolic syndrome', 'growth retardation, amino aciduria, cholestasis, iron overload, lactic acidosis, and early death']"
"Food, nutrition, and metabolism",finnish lethal neonatal metabolic syndrome,gracile syndrome,/condition/gracile-syndrome,"['Fellman syndrome', 'Finnish lactic acidosis with hepatic hemosiderosis', 'Finnish lethal neonatal metabolic syndrome', 'growth retardation, amino aciduria, cholestasis, iron overload, lactic acidosis, and early death']"
"Food, nutrition, and metabolism",fish-eye disease,,/condition/fish-eye-disease,"['alpha-LCAT deficiency', 'alpha-lecithin:cholesterol acyltransferase deficiency', 'dyslipoproteinemic corneal dystrophy', 'FED', 'LCATA deficiency', 'partial LCAT deficiency']"
"Food, nutrition, and metabolism",fish malodor syndrome,trimethylaminuria,/condition/trimethylaminuria,"['fish malodor syndrome', 'fish odor syndrome', 'stale fish syndrome', 'TMAU', 'TMAuria']"
"Food, nutrition, and metabolism",fish odor syndrome,trimethylaminuria,/condition/trimethylaminuria,"['fish malodor syndrome', 'fish odor syndrome', 'stale fish syndrome', 'TMAU', 'TMAuria']"
"Food, nutrition, and metabolism",five,ataxia with vitamin e deficiency,/condition/ataxia-with-vitamin-e-deficiency,"['ataxia with isolated vitamin E deficiency', 'AVED', 'familial isolated vitamin E deficiency', 'FIVE', 'Friedreich ataxia phenotype with selective vitamin E deficiency', 'Friedreich-like ataxia']"
"Food, nutrition, and metabolism",fld,complete lcat deficiency,/condition/complete-lcat-deficiency,"['familial LCAT deficiency', 'familial lecithin-cholesterol acyltransferase deficiency', 'FLD', 'LCAT deficiency', 'lecithin acyltransferase deficiency', 'lecithin:cholesterol acyltransferase deficiency', 'Norum disease', ""Norum's disease""]"
"Food, nutrition, and metabolism",folling disease,phenylketonuria,/condition/phenylketonuria,"['Deficiency Disease, Phenylalanine Hydroxylase', 'Folling Disease', ""Folling's Disease"", 'PAH deficiency', 'Phenylalanine Hydroxylase Deficiency Disease', 'PKU']"
"Food, nutrition, and metabolism",forbes disease,glycogen storage disease type iii,/condition/glycogen-storage-disease-type-iii,"['AGL deficiency', 'Cori disease', ""Cori's disease"", 'debrancher deficiency', 'Forbes disease', 'glycogen debrancher deficiency', 'GSD3', 'GSD III', 'limit dextrinosis']"
"Food, nutrition, and metabolism",formiminoglutamic aciduria,glutamate formiminotransferase deficiency,/condition/glutamate-formiminotransferase-deficiency,"['Arakawa syndrome 1', 'FIGLU-uria', 'formiminoglutamic aciduria', 'formiminotransferase deficiency']"
"Food, nutrition, and metabolism",formiminotransferase deficiency,glutamate formiminotransferase deficiency,/condition/glutamate-formiminotransferase-deficiency,"['Arakawa syndrome 1', 'FIGLU-uria', 'formiminoglutamic aciduria', 'formiminotransferase deficiency']"
"Food, nutrition, and metabolism",free sialic acid storage disease,sialic acid storage disease,/condition/sialic-acid-storage-disease,"['free sialic acid storage disease', 'N-acetylneuraminic acid storage disease', 'NANA storage disease', 'sialuria, Finnish type']"
"Food, nutrition, and metabolism",french type sialuria,sialuria,/condition/sialuria,"['French type sialuria', 'Sialuria, French type']"
"Food, nutrition, and metabolism",friedreich ataxia phenotype with selective vitamin e deficiency,ataxia with vitamin e deficiency,/condition/ataxia-with-vitamin-e-deficiency,"['ataxia with isolated vitamin E deficiency', 'AVED', 'familial isolated vitamin E deficiency', 'FIVE', 'Friedreich ataxia phenotype with selective vitamin E deficiency', 'Friedreich-like ataxia']"
"Food, nutrition, and metabolism",friedreich-like ataxia,ataxia with vitamin e deficiency,/condition/ataxia-with-vitamin-e-deficiency,"['ataxia with isolated vitamin E deficiency', 'AVED', 'familial isolated vitamin E deficiency', 'FIVE', 'Friedreich ataxia phenotype with selective vitamin E deficiency', 'Friedreich-like ataxia']"
"Food, nutrition, and metabolism","fructose-1,6-biphosphate aldolase deficiency",hereditary fructose intolerance,/condition/hereditary-fructose-intolerance,"['ALDOB deficiency', 'aldolase B deficiency', 'fructose-1,6-biphosphate aldolase deficiency', 'fructose-1-phosphate aldolase deficiency', 'fructose aldolase B deficiency', 'fructose intolerance', 'fructosemia']"
"Food, nutrition, and metabolism",fructose-1-phosphate aldolase deficiency,hereditary fructose intolerance,/condition/hereditary-fructose-intolerance,"['ALDOB deficiency', 'aldolase B deficiency', 'fructose-1,6-biphosphate aldolase deficiency', 'fructose-1-phosphate aldolase deficiency', 'fructose aldolase B deficiency', 'fructose intolerance', 'fructosemia']"
"Food, nutrition, and metabolism",fructose aldolase b deficiency,hereditary fructose intolerance,/condition/hereditary-fructose-intolerance,"['ALDOB deficiency', 'aldolase B deficiency', 'fructose-1,6-biphosphate aldolase deficiency', 'fructose-1-phosphate aldolase deficiency', 'fructose aldolase B deficiency', 'fructose intolerance', 'fructosemia']"
"Food, nutrition, and metabolism",fructose intolerance,hereditary fructose intolerance,/condition/hereditary-fructose-intolerance,"['ALDOB deficiency', 'aldolase B deficiency', 'fructose-1,6-biphosphate aldolase deficiency', 'fructose-1-phosphate aldolase deficiency', 'fructose aldolase B deficiency', 'fructose intolerance', 'fructosemia']"
"Food, nutrition, and metabolism",fructosemia,hereditary fructose intolerance,/condition/hereditary-fructose-intolerance,"['ALDOB deficiency', 'aldolase B deficiency', 'fructose-1,6-biphosphate aldolase deficiency', 'fructose-1-phosphate aldolase deficiency', 'fructose aldolase B deficiency', 'fructose intolerance', 'fructosemia']"
"Food, nutrition, and metabolism",fucosidase deficiency,fucosidosis,/condition/fucosidosis,"['Alpha-fucosidase deficiency', 'Fucosidase deficiency', 'Fucosidase Deficiency Disease']"
"Food, nutrition, and metabolism",fucosidosis,,/condition/fucosidosis,"['Alpha-fucosidase deficiency', 'Fucosidase deficiency', 'Fucosidase Deficiency Disease']"
"Food, nutrition, and metabolism",fukuhara disease,myoclonic epilepsy with ragged-red fibers,/condition/myoclonic-epilepsy-with-ragged-red-fibers,"['Fukuhara Disease', 'MERRF syndrome', 'myoclonic epilepsy associated with ragged-red fibers', 'myoencephalopathy ragged-red fiber disease']"
"Food, nutrition, and metabolism",fumarase deficiency,,/condition/fumarase-deficiency,"['fumarate hydratase deficiency', 'fumaric aciduria']"
"Food, nutrition, and metabolism",fumarate hydratase deficiency,fumarase deficiency,/condition/fumarase-deficiency,"['fumarate hydratase deficiency', 'fumaric aciduria']"
"Food, nutrition, and metabolism",fumaric aciduria,fumarase deficiency,/condition/fumarase-deficiency,"['fumarate hydratase deficiency', 'fumaric aciduria']"
"Food, nutrition, and metabolism",g1d,glut1 deficiency syndrome,/condition/glut1-deficiency-syndrome,"['De Vivo disease', 'encephalopathy due to GLUT1 deficiency', 'G1D', 'glucose transport defect, blood-brain barrier', 'glucose transporter protein syndrome', 'glucose transporter type 1 deficiency syndrome', 'Glut1 deficiency', 'GLUT1 DS', 'GTPS']"
"Food, nutrition, and metabolism",g6pd deficiency,glucose-6-phosphate dehydrogenase deficiency,/condition/glucose-6-phosphate-dehydrogenase-deficiency,"['Deficiency of glucose-6-phosphate dehydrogenase', 'G6PDD', 'G6PD Deficiency', 'glucose 6 phosphate dehydrogenase deficiency']"
"Food, nutrition, and metabolism",g6pdd,glucose-6-phosphate dehydrogenase deficiency,/condition/glucose-6-phosphate-dehydrogenase-deficiency,"['Deficiency of glucose-6-phosphate dehydrogenase', 'G6PDD', 'G6PD Deficiency', 'glucose 6 phosphate dehydrogenase deficiency']"
"Food, nutrition, and metabolism",ga i,glutaric acidemia type i,/condition/glutaric-acidemia-type-i,"['GA I', 'Glutaric acidemia I', 'Glutaric acidemia type 1', 'Glutaric aciduria I', 'Glutaryl-CoA dehydrogenase deficiency']"
"Food, nutrition, and metabolism",ga ii,glutaric acidemia type ii,/condition/glutaric-acidemia-type-ii,"['electron transfer flavoprotein deficiency', 'EMA', 'ETFA deficiency', 'ETFB deficiency', 'ETFDH deficiency', 'ethylmalonic-adipicaciduria', 'GA II', 'glutaric acidemia, type 2', 'glutaric aciduria, type 2', 'MAD', 'MADD', 'multiple acyl-CoA dehydrogenase deficiency', 'multiple FAD dehydrogenase deficiency']"
"Food, nutrition, and metabolism",gaa deficiency,pompe disease,/condition/pompe-disease,"['acid maltase deficiency', 'acid maltase deficiency disease', 'alpha-1,4-glucosidase deficiency', 'AMD', 'deficiency of alpha-glucosidase', 'GAA deficiency', 'glycogenosis Type II', 'glycogen storage disease type II', 'GSD2', 'GSD II', ""Pompe's disease""]"
"Food, nutrition, and metabolism",galactokinase deficiency disease,galactosemia,/condition/galactosemia,"['classic galactosemia', 'epimerase deficiency galactosemia', 'galactokinase deficiency disease', 'galactose-1-phosphate uridyl-transferase deficiency disease', 'galactose epimerase deficiency', 'GALE deficiency', 'GALK deficiency', 'GALT deficiency', 'UDP-galactose-4-epimerase deficiency disease', 'UTP hexose-1-phosphate uridylyltransferase deficiency']"
"Food, nutrition, and metabolism",galactose-1-phosphate uridyl-transferase deficiency disease,galactosemia,/condition/galactosemia,"['classic galactosemia', 'epimerase deficiency galactosemia', 'galactokinase deficiency disease', 'galactose-1-phosphate uridyl-transferase deficiency disease', 'galactose epimerase deficiency', 'GALE deficiency', 'GALK deficiency', 'GALT deficiency', 'UDP-galactose-4-epimerase deficiency disease', 'UTP hexose-1-phosphate uridylyltransferase deficiency']"
"Food, nutrition, and metabolism",galactose epimerase deficiency,galactosemia,/condition/galactosemia,"['classic galactosemia', 'epimerase deficiency galactosemia', 'galactokinase deficiency disease', 'galactose-1-phosphate uridyl-transferase deficiency disease', 'galactose epimerase deficiency', 'GALE deficiency', 'GALK deficiency', 'GALT deficiency', 'UDP-galactose-4-epimerase deficiency disease', 'UTP hexose-1-phosphate uridylyltransferase deficiency']"
"Food, nutrition, and metabolism",galactosemia,,/condition/galactosemia,"['classic galactosemia', 'epimerase deficiency galactosemia', 'galactokinase deficiency disease', 'galactose-1-phosphate uridyl-transferase deficiency disease', 'galactose epimerase deficiency', 'GALE deficiency', 'GALK deficiency', 'GALT deficiency', 'UDP-galactose-4-epimerase deficiency disease', 'UTP hexose-1-phosphate uridylyltransferase deficiency']"
"Food, nutrition, and metabolism",galactosialidosis,,/condition/galactosialidosis,"['deficiency of cathepsin A', 'Goldberg syndrome', 'lysosomal protective protein deficiency', 'neuraminidase deficiency with beta-galactosidase deficiency', 'PPCA deficiency']"
"Food, nutrition, and metabolism",galactosylceramidase deficiency disease,krabbe disease,/condition/krabbe-disease,"['Diffuse Globoid Body Sclerosis', 'Galactosylceramidase Deficiency Disease', 'Galactosylceramide lipidosis', 'galactosylcerebrosidase deficiency', 'galactosylsphingosine lipidosis', 'GALC deficiency', 'GCL', 'GLD', 'psychosine lipidosis']"
"Food, nutrition, and metabolism",galactosylceramide lipidosis,krabbe disease,/condition/krabbe-disease,"['Diffuse Globoid Body Sclerosis', 'Galactosylceramidase Deficiency Disease', 'Galactosylceramide lipidosis', 'galactosylcerebrosidase deficiency', 'galactosylsphingosine lipidosis', 'GALC deficiency', 'GCL', 'GLD', 'psychosine lipidosis']"
"Food, nutrition, and metabolism",galactosylcerebrosidase deficiency,krabbe disease,/condition/krabbe-disease,"['Diffuse Globoid Body Sclerosis', 'Galactosylceramidase Deficiency Disease', 'Galactosylceramide lipidosis', 'galactosylcerebrosidase deficiency', 'galactosylsphingosine lipidosis', 'GALC deficiency', 'GCL', 'GLD', 'psychosine lipidosis']"
"Food, nutrition, and metabolism",galactosylsphingosine lipidosis,krabbe disease,/condition/krabbe-disease,"['Diffuse Globoid Body Sclerosis', 'Galactosylceramidase Deficiency Disease', 'Galactosylceramide lipidosis', 'galactosylcerebrosidase deficiency', 'galactosylsphingosine lipidosis', 'GALC deficiency', 'GCL', 'GLD', 'psychosine lipidosis']"
"Food, nutrition, and metabolism",galb deficiency,schindler disease,/condition/schindler-disease,"['alpha-galactosidase B deficiency', 'alpha-galNAc deficiency, Schindler type', 'alpha-N-acetylgalactosaminidase deficiency', 'alpha-NAGA deficiency', 'angiokeratoma corporis diffusum-glycopeptiduria', 'GALB deficiency', 'Kanzaki disease', 'lysosomal glycoaminoacid storage disease-angiokeratoma corporis diffusum', 'NAGA deficiency', 'neuroaxonal dystrophy, Schindler type', 'neuronal axonal dystrophy, Schindler type']"
"Food, nutrition, and metabolism",galc deficiency,krabbe disease,/condition/krabbe-disease,"['Diffuse Globoid Body Sclerosis', 'Galactosylceramidase Deficiency Disease', 'Galactosylceramide lipidosis', 'galactosylcerebrosidase deficiency', 'galactosylsphingosine lipidosis', 'GALC deficiency', 'GCL', 'GLD', 'psychosine lipidosis']"
"Food, nutrition, and metabolism",gale deficiency,galactosemia,/condition/galactosemia,"['classic galactosemia', 'epimerase deficiency galactosemia', 'galactokinase deficiency disease', 'galactose-1-phosphate uridyl-transferase deficiency disease', 'galactose epimerase deficiency', 'GALE deficiency', 'GALK deficiency', 'GALT deficiency', 'UDP-galactose-4-epimerase deficiency disease', 'UTP hexose-1-phosphate uridylyltransferase deficiency']"
"Food, nutrition, and metabolism",galk deficiency,galactosemia,/condition/galactosemia,"['classic galactosemia', 'epimerase deficiency galactosemia', 'galactokinase deficiency disease', 'galactose-1-phosphate uridyl-transferase deficiency disease', 'galactose epimerase deficiency', 'GALE deficiency', 'GALK deficiency', 'GALT deficiency', 'UDP-galactose-4-epimerase deficiency disease', 'UTP hexose-1-phosphate uridylyltransferase deficiency']"
"Food, nutrition, and metabolism",galt deficiency,galactosemia,/condition/galactosemia,"['classic galactosemia', 'epimerase deficiency galactosemia', 'galactokinase deficiency disease', 'galactose-1-phosphate uridyl-transferase deficiency disease', 'galactose epimerase deficiency', 'GALE deficiency', 'GALK deficiency', 'GALT deficiency', 'UDP-galactose-4-epimerase deficiency disease', 'UTP hexose-1-phosphate uridylyltransferase deficiency']"
"Food, nutrition, and metabolism",gamma-hydroxybutyric acidemia,succinic semialdehyde dehydrogenase deficiency,/condition/succinic-semialdehyde-dehydrogenase-deficiency,"['4-hydroxybutyricaciduria', '4-hydroxybutyric aciduria', 'Gamma-hydroxybutyric acidemia', 'gamma-hydroxybutyric aciduria', 'SSADH deficiency']"
"Food, nutrition, and metabolism",gamma-hydroxybutyric aciduria,succinic semialdehyde dehydrogenase deficiency,/condition/succinic-semialdehyde-dehydrogenase-deficiency,"['4-hydroxybutyricaciduria', '4-hydroxybutyric aciduria', 'Gamma-hydroxybutyric acidemia', 'gamma-hydroxybutyric aciduria', 'SSADH deficiency']"
"Food, nutrition, and metabolism",gaucher disease,,/condition/gaucher-disease,"['cerebroside lipidosis syndrome', ""Gaucher's disease"", 'Gauchers disease', 'Gaucher splenomegaly', 'Gaucher syndrome', 'GD', 'glucocerebrosidase deficiency', 'glucocerebrosidosis', 'glucosylceramidase deficiency', 'glucosylceramide beta-glucosidase deficiency', 'glucosylceramide lipidosis', 'glucosyl cerebroside lipidosis', 'kerasin histiocytosis', 'kerasin lipoidosis', 'kerasin thesaurismosis', 'lipoid histiocytosis (kerasin type)']"
"Food, nutrition, and metabolism",gcl,krabbe disease,/condition/krabbe-disease,"['Diffuse Globoid Body Sclerosis', 'Galactosylceramidase Deficiency Disease', 'Galactosylceramide lipidosis', 'galactosylcerebrosidase deficiency', 'galactosylsphingosine lipidosis', 'GALC deficiency', 'GCL', 'GLD', 'psychosine lipidosis']"
